pl_name,pl_rade,pl_bmasse,pl_orbper,st_teff
"Kepler-1162 c",1.79000000,,59.28415710000,5575.00
"K2-368 d",1.94800000,,20.20108500000,4663.00
"K2-222 b",2.27500000,7.50000000,15.38892740000,5942.00
"TOI-1695 b",2.03000000,5.50000000,3.13427900000,3650.00
"Kepler-325 c",2.97000000,,12.76224947000,5535.00
"Kepler-813 b",4.23000000,,19.12947603000,5372.00
"Kepler-1800 b",1.59000000,,4.56214300000,5404.00
"Kepler-1166 b",1.94000000,,33.24068820000,5605.00
"Kepler-1760 b",1.83000000,,38.32621800000,5448.00
"Kepler-397 c",6.01000000,,135.49782560000,5307.00
"Kepler-326 b",3.03000000,44.60000000,2.24800000000,
"Kepler-353 c",1.80000000,,8.41100305000,3757.00
"Kepler-1814 c",1.56000000,,0.62628137800,4958.00
"K2-345 b",2.11000000,,10.36743700000,3779.00
"K2-19 c",4.10000000,,23.81486000000,
"Kepler-103 b",3.14000000,,15.96533687000,5845.00
"K2-348 b",3.36071000,,4.68863420000,4954.00
"TOI-4342 c",2.46422452,,10.68860835067,3883.00
"TOI-5108 b",6.28796000,,6.75357280000,5880.00
"Kepler-970 b",2.94000000,,16.73652231000,4608.00
"Kepler-1982 b",0.77000000,,3.82315697000,6202.00
"TOI-1716.01",3.14300000,,8.08237655400,5879.00
"K2-384 d",1.10000000,,6.67910000000,
"TOI-238 b",1.40200000,3.40000000,1.27309910000,5059.00
"K2-381 b",1.08322371,,7.93925600000,4661.00
"TOI-2589 b",11.73920000,,61.62770000000,5581.00
"K2-380 b",1.96000000,,9.40172000000,
"Kepler-139 d",2.15000000,,7.30568500000,5622.00
"TOI-5800 b",2.46000000,9.50000000,2.62788380000,4850.00
"TOI-1266 b",2.37000000,13.50000000,10.89484300000,3600.00
"Kepler-109 b",2.54000000,,6.48163307300,5945.00
"Kepler-1894 c",1.23000000,,5.05366499000,5772.00
"TOI-5126 c",3.86000000,,17.89990000000,6150.00
"Kepler-864 b",2.81000000,,5.83376092000,6198.00
"Kepler-107 b",1.53600000,3.51000000,3.18002180000,5854.00
"EPIC 212297394 b",1.32300000,,2.28943000000,
"Kepler-102 d",1.18000000,3.80000000,10.31170000000,4903.00
"Kepler-10 c",2.34000000,,45.29431717000,5599.00
"HD 191939 b",3.20594000,,8.88032810000,5555.70
"Kepler-377 c",1.58000000,,27.01417830000,6167.00
"WASP-4 b",14.90797000,375.03940000,1.33823000000,5500.00
"Kepler-1996 b",2.26000000,,32.37618300000,4580.00
"TOI-836 b",1.70400000,4.53000000,3.81673000000,4552.00
"Kepler-109 b",2.37000000,,6.48162809200,6000.00
"Kepler-1834 b",1.26000000,,4.60299600000,4894.00
"Kepler-1181 b",1.41000000,,4.89348900000,6333.00
"Kepler-290 c",3.44000000,,36.77047310000,5153.00
"TOI-1244 b",2.42147733,,6.40029893925,4667.20
"Kepler-1126 b",1.68000000,,108.59311300000,5678.00
"Kepler-1992 b",0.88000000,,15.61130000000,5450.00
"K2-330 b",2.67656000,,13.77483610000,6266.98
"Kepler-20 f",0.99000000,,19.57762860000,5465.00
"CoRoT-7 b",1.58500000,5.74000000,0.85359159000,5259.00
"K2-19 d",1.14000000,,2.50856000000,5430.00
"Kepler-30 c",14.30000000,2892.25300000,60.32510000000,5498.00
"Kepler-656 b",3.69000000,,1.26025909400,5546.00
"Kepler-164 c",2.69000000,,10.94577222000,6353.00
"Kepler-21 b",1.63900000,5.08000000,2.78578000000,6305.00
"Kepler-416 c",2.50000000,,12.20942000000,5708.00
"TOI-5238 b",4.89644000,,4.87219040000,5430.50
"Kepler-1921 c",1.44000000,,3.15721824000,6120.00
"HD 202772 A b",18.23701160,323.54931833,3.30887750000,6442.00
"Kepler-549 d",4.54600000,,24.61479950000,5312.00
